"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
1e+11;0.000648744;1.20712e-06;-1.36288e-05
1.5e+11;0.000648744;-5.39919e-07;-4.46874e-07
2e+11;0.000648744;-3.16257e-08;6.41146e-09
2.5e+11;0.000648744;-1.50333e-10;3.28427e-09
-2.5e+11;0.000668342;-1.83144e-10;-3.81671e-09
-2e+11;0.000668342;-3.57767e-08;-7.3078e-09
-1.5e+11;0.000668342;-5.91791e-07;4.88854e-07
-1e+11;0.000668342;1.28561e-06;1.44775e-05
-5e+10;0.000668342;-0.00178119;-0.00101956
0;0.000668342;-6.85049e-20;0
5e+10;0.000668342;-0.00178119;0.00101956
1e+11;0.000668342;1.28561e-06;-1.44775e-05
1.5e+11;0.000668342;-5.91791e-07;-4.88854e-07
2e+11;0.000668342;-3.57767e-08;7.3078e-09
2.5e+11;0.000668342;-1.83144e-10;3.81671e-09
-2.5e+11;0.00068794;-2.21977e-10;-4.41719e-09
-2e+11;0.00068794;-4.03402e-08;-8.3038e-09
-1.5e+11;0.00068794;-6.4703e-07;5.33422e-07
-1e+11;0.00068794;1.36693e-06;1.53532e-05
-5e+10;0.00068794;-0.0018332;-0.0010494
0;0.00068794;1.61269e-19;0
5e+10;0.00068794;-0.0018332;0.0010494
1e+11;0.00068794;1.36693e-06;-1.53532e-05
1.5e+11;0.00068794;-6.4703e-07;-5.33422e-07
2e+11;0.00068794;-4.03402e-08;8.3038e-09
2.5e+11;0.00068794;-2.21977e-10;4.41719e-09
-2.5e+11;0.000707538;-2.67715e-10;-5.09237e-09
-2e+11;0.000707538;-4.5346e-08;-9.40831e-09
-1.5e+11;0.000707538;-7.05764e-07;5.80665e-07
-1e+11;0.000707538;1.45113e-06;1.62562e-05
-5e+10;0.000707538;-0.0018852;-0.00107924
0;0.000707538;1.32096e-19;0
5e+10;0.000707538;-0.0018852;0.00107924
1e+11;0.000707538;1.45113e-06;-1.62562e-05
1.5e+11;0.000707538;-7.05764e-07;-5.80665e-07
2e+11;0.000707538;-4.5346e-08;9.40831e-09
2.5e+11;0.000707538;-2.67715e-10;5.09237e-09
-2.5e+11;0.000727136;-3.21341e-10;-5.84936e-09
-2e+11;0.000727136;-5.08256e-08;-1.06308e-08
-1.5e+11;0.000727136;-7.68125e-07;6.30668e-07
-1e+11;0.000727136;1.53824e-06;1.71866e-05
-5e+10;0.000727136;-0.00193717;-0.00110908
0;0.000727136;1.32811e-19;0
5e+10;0.000727136;-0.00193717;0.00110908
1e+11;0.000727136;1.53824e-06;-1.71866e-05
1.5e+11;0.000727136;-7.68125e-07;-6.30668e-07
2e+11;0.000727136;-5.08256e-08;1.06308e-08
2.5e+11;0.000727136;-3.21341e-10;5.84936e-09
-2.5e+11;0.000746734;-3.83937e-10;-6.69584e-09
-2e+11;0.000746734;-5.68122e-08;-1.19816e-08
-1.5e+11;0.000746734;-8.3425e-07;6.83522e-07
-1e+11;0.000746734;1.62829e-06;1.81446e-05
-5e+10;0.000746734;-0.00198913;-0.00113892
0;0.000746734;1.77116e-20;0
5e+10;0.000746734;-0.00198913;0.00113892
1e+11;0.000746734;1.62829e-06;-1.81446e-05
1.5e+11;0.000746734;-8.3425e-07;-6.83522e-07
2e+11;0.000746734;-5.68122e-08;1.19816e-08
2.5e+11;0.000746734;-3.83937e-10;6.69584e-09
-2.5e+11;0.000766332;-4.56692e-10;-7.64001e-09
-2e+11;0.000766332;-6.33408e-08;-1.34716e-08
